timestamp,pole_id,lat,long
2025-07-25T14:13:49.032,1,26.6752484599593,-81.8082118216553
2025-07-25T14:20:03.989,2,26.6746746027583,-81.8079489277844
2025-07-25T14:24:37.003,3,26.6740904189977,-81.8080505407032
2025-07-25T14:32:20.066,4,26.6740191097293,-81.8088537045482
2025-07-25T14:34:16.003,5,26.6737696224372,-81.8089859551145
2025-07-25T14:26:28.991,6,26.6739028062876,-81.8084289065335
2025-07-25T15:04:57.086,7,26.6735503261092,-81.8079415328672
2025-07-25T15:07:31.034,8,26.6729386001582,-81.807754426437
2025-07-25T15:22:44.122,9,26.673546888126,-81.8073593266314
2025-07-25T15:20:16.048,10,26.6736228104532,-81.8067105549306
2025-07-25T15:30:36.125,11,26.6733567236736,-81.8058410364735
2025-07-25T15:27:03.121,12,26.672996736774,-81.8050957676087
2025-07-29T10:21:09.446,13,26.6734370611516,-81.8052084814124
2025-07-29T10:11:32.354,14,26.6734091076283,-81.8048094801374
2025-07-29T10:30:18.370,15,26.6724947332187,-81.8044264599846
2025-07-29T10:56:25.456,16,26.6717858961247,-81.8045398484288
2025-07-29T10:53:28.398,17,26.6711738806323,-81.804537480801
2025-07-29T10:38:48.434,18,26.6711763472277,-81.8038541377753
2025-07-29T10:36:04.411,19,26.6718427214241,-81.8038798730496
2025-07-29T10:32:25.358,20,26.6726145411294,-81.8040291070655
2025-07-29T11:10:14.470,21,26.6749963052052,-81.804089467465
2025-07-29T11:08:44.427,22,26.6753859206764,-81.8040787365002
2025-05-30T23:13:38,ap5,26.6743284404304,-81.8047465558082
2025-05-30T23:14:10,ap5,26.6742962952483,-81.8048518721864
