timestamp,lat,long,bssid,signal_dbm,frequency,channel,ssid,devicename
2025-10-28_17-24-36,,,2e:70:4e:d0:86:c3,-60,5765,154,Bermuda,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:86:c3,-60,5765,154,Bermuda Guest WIFI,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d2:92:aa,-63,2437,6,Bermuda 2G,pole 12 N
2025-10-28_17-24-36,,,2e:70:4e:d2:92:aa,-64,2437,6,Bermuda Guest WIFI 2G,pole 12 N
2025-10-28_17-24-36,,,2e:70:4e:d0:86:c2,-70,2437,6,Bermuda Guest WIFI 2G,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:88:22,-70,5765,154,Bermuda Guest WIFI,pole 14
2025-10-28_17-24-36,,,2e:70:4e:d0:88:22,-70,5765,154,Bermuda,pole 14
2025-10-28_17-24-36,,,28:70:4e:d0:86:c2,-71,2437,6,Bermuda 2G,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:88:f9,-74,2412,1,Bermuda 2G,pole 11
2025-10-28_17-24-36,,,28:70:4e:d0:87:4f,-75,2462,11,Bermuda 2G,pole 13 E
2025-10-28_17-24-36,,,2e:70:4e:d0:87:4f,-75,2462,11,Bermuda Guest WIFI 2G,pole 13 E
2025-10-28_17-24-36,,,2e:70:4e:d0:88:21,-79,2412,1,Bermuda Guest WIFI 2G,pole 14
2025-10-28_17-24-36,,,2e:70:4e:d0:88:f9,-79,2412,1,Bermuda Guest WIFI 2G,pole 11
2025-10-28_17-24-36,,,28:70:4e:dd:d0:49,-79,2437,6,Bermuda 2G,pole 13 SW
2025-10-28_17-24-36,,,28:70:4e:d0:88:21,-80,2412,1,Bermuda 2G,pole 14
2025-10-28_17-24-36,,,2e:70:4e:dd:d0:49,-80,2437,6,Bermuda Guest WIFI 2G,pole 13 SW
2025-10-28_17-24-36,,,1c:6a:1b:63:f6:f2,-80,5240,49,Bermuda Guest WIFI,Outside SE
2025-10-28_17-24-36,,,22:6a:1b:63:f6:f2,-80,5240,49,Bermuda,Outside SE
2025-10-28_17-24-36,,,2e:70:4e:d0:89:0b,-81,2412,1,Bermuda Guest WIFI 2G,pole 10
2025-10-28_17-24-36,,,28:70:4e:d0:89:0b,-82,2412,1,Bermuda 2G,pole 10
2025-10-28_17-24-36,,,2e:70:4e:d0:86:c3,-60,5765,154,Bermuda,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:86:c3,-60,5765,154,Bermuda Guest WIFI,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d2:92:aa,-68,2437,6,Bermuda 2G,pole 12 N
2025-10-28_17-24-36,,,2e:70:4e:d0:87:4f,-69,2462,11,Bermuda Guest WIFI 2G,pole 13 E
2025-10-28_17-24-36,,,2e:70:4e:d2:92:aa,-70,2437,6,Bermuda Guest WIFI 2G,pole 12 N
2025-10-28_17-24-36,,,2e:70:4e:d0:86:c2,-70,2437,6,Bermuda Guest WIFI 2G,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:87:4f,-70,2462,11,Bermuda 2G,pole 13 E
2025-10-28_17-24-36,,,28:70:4e:d0:88:22,-70,5765,154,Bermuda Guest WIFI,pole 14
2025-10-28_17-24-36,,,2e:70:4e:d0:88:22,-70,5765,154,Bermuda,pole 14
2025-10-28_17-24-36,,,28:70:4e:d0:88:f9,-74,2412,1,Bermuda 2G,pole 11
2025-10-28_17-24-36,,,28:70:4e:dd:d0:49,-75,2437,6,Bermuda 2G,pole 13 SW
2025-10-28_17-24-36,,,2e:70:4e:dd:d0:49,-77,2437,6,Bermuda Guest WIFI 2G,pole 13 SW
2025-10-28_17-24-36,,,2e:70:4e:d0:88:21,-79,2412,1,Bermuda Guest WIFI 2G,pole 14
2025-10-28_17-24-36,,,2e:70:4e:d0:88:f9,-79,2412,1,Bermuda Guest WIFI 2G,pole 11
2025-10-28_17-24-36,,,28:70:4e:d0:86:c2,-79,2437,6,Bermuda 2G,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:88:21,-80,2412,1,Bermuda 2G,pole 14
2025-10-28_17-24-36,,,1c:6a:1b:63:f6:f2,-80,5240,49,Bermuda Guest WIFI,Outside SE
2025-10-28_17-24-36,,,22:6a:1b:63:f6:f2,-80,5240,49,Bermuda,Outside SE
2025-10-28_17-24-36,,,2e:70:4e:d0:89:0b,-81,2412,1,Bermuda Guest WIFI 2G,pole 10
2025-10-28_17-24-36,,,28:70:4e:d0:89:0b,-82,2412,1,Bermuda 2G,pole 10
2025-10-28_17-24-36,,,2e:70:4e:d0:86:c3,-55,5765,154,Bermuda,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:86:c3,-55,5765,154,Bermuda Guest WIFI,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:87:50,-59,5745,150,Bermuda Guest WIFI,pole 13 E
2025-10-28_17-24-36,,,2e:70:4e:d0:87:50,-59,5745,150,Bermuda,pole 13 E
2025-10-28_17-24-36,,,2e:70:4e:d2:92:aa,-66,2437,6,Bermuda Guest WIFI 2G,pole 12 N
2025-10-28_17-24-36,,,28:70:4e:d2:92:aa,-67,2437,6,Bermuda 2G,pole 12 N
2025-10-28_17-24-36,,,2e:70:4e:d0:87:4f,-69,2462,11,Bermuda Guest WIFI 2G,pole 13 E
2025-10-28_17-24-36,,,28:70:4e:d0:87:4f,-70,2462,11,Bermuda 2G,pole 13 E
2025-10-28_17-24-36,,,28:70:4e:d0:88:22,-70,5765,154,Bermuda Guest WIFI,pole 14
2025-10-28_17-24-36,,,2e:70:4e:d0:88:22,-70,5765,154,Bermuda,pole 14
2025-10-28_17-24-36,,,28:70:4e:d0:86:c2,-73,2437,6,Bermuda 2G,pole 12 W
2025-10-28_17-24-36,,,2e:70:4e:d0:86:c2,-73,2437,6,Bermuda Guest WIFI 2G,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:dd:d0:49,-76,2437,6,Bermuda 2G,pole 13 SW
2025-10-28_17-24-36,,,2e:70:4e:dd:d0:49,-76,2437,6,Bermuda Guest WIFI 2G,pole 13 SW
2025-10-28_17-24-36,,,2e:70:4e:d0:88:21,-79,2412,1,Bermuda Guest WIFI 2G,pole 14
2025-10-28_17-24-36,,,2e:70:4e:d2:8b:2e,-79,5220,45,Bermuda,pole 02 W
2025-10-28_17-24-36,,,28:70:4e:d0:88:21,-80,2412,1,Bermuda 2G,pole 14
2025-10-28_17-24-36,,,1c:6a:1b:63:f6:f2,-80,5240,49,Bermuda Guest WIFI,Outside SE
2025-10-28_17-24-36,,,22:6a:1b:63:f6:f2,-80,5240,49,Bermuda,Outside SE
2025-10-28_17-24-36,,,2e:70:4e:d0:89:0b,-81,2412,1,Bermuda Guest WIFI 2G,pole 10
2025-10-28_17-24-36,,,28:70:4e:d0:89:0b,-82,2412,1,Bermuda 2G,pole 10
2025-10-28_17-24-36,,,28:70:4e:d0:88:f9,-87,2412,1,Bermuda 2G,pole 11
2025-10-28_17-24-36,,,2e:70:4e:d0:88:f9,-89,2412,1,Bermuda Guest WIFI 2G,pole 11
2025-10-28_17-24-36,,,2e:70:4e:d0:86:c3,-55,5765,154,Bermuda,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:86:c3,-55,5765,154,Bermuda Guest WIFI,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d0:87:50,-59,5745,150,Bermuda Guest WIFI,pole 13 E
2025-10-28_17-24-36,,,2e:70:4e:d0:87:50,-59,5745,150,Bermuda,pole 13 E
2025-10-28_17-24-36,,,2e:70:4e:dd:d0:4a,-62,5240,49,Bermuda,pole 13 SW
2025-10-28_17-24-36,,,2e:70:4e:d0:87:4f,-69,2462,11,Bermuda Guest WIFI 2G,pole 13 E
2025-10-28_17-24-36,,,28:70:4e:d0:87:4f,-70,2462,11,Bermuda 2G,pole 13 E
2025-10-28_17-24-36,,,28:70:4e:d0:88:22,-70,5765,154,Bermuda Guest WIFI,pole 14
2025-10-28_17-24-36,,,2e:70:4e:d0:88:22,-70,5765,154,Bermuda,pole 14
2025-10-28_17-24-36,,,28:70:4e:d0:86:c2,-72,2437,6,Bermuda 2G,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:d2:92:aa,-72,2437,6,Bermuda 2G,pole 12 N
2025-10-28_17-24-36,,,2e:70:4e:d2:92:aa,-72,2437,6,Bermuda Guest WIFI 2G,pole 12 N
2025-10-28_17-24-36,,,2e:70:4e:d0:86:c2,-73,2437,6,Bermuda Guest WIFI 2G,pole 12 W
2025-10-28_17-24-36,,,28:70:4e:dd:d0:49,-76,2437,6,Bermuda 2G,pole 13 SW
2025-10-28_17-24-36,,,2e:70:4e:dd:d0:49,-76,2437,6,Bermuda Guest WIFI 2G,pole 13 SW
2025-10-28_17-24-36,,,28:70:4e:d0:88:f9,-79,2412,1,Bermuda 2G,pole 11
2025-10-28_17-24-36,,,2e:70:4e:d0:88:f9,-79,2412,1,Bermuda Guest WIFI 2G,pole 11
2025-10-28_17-24-36,,,2e:70:4e:d2:8b:2e,-79,5220,45,Bermuda,pole 02 W
2025-10-28_17-24-36,,,1c:6a:1b:63:f6:f2,-80,5240,49,Bermuda Guest WIFI,Outside SE
2025-10-28_17-24-36,,,22:6a:1b:63:f6:f2,-80,5240,49,Bermuda,Outside SE
2025-10-28_17-24-36,,,28:70:4e:d0:89:0b,-84,2412,1,Bermuda 2G,pole 10
2025-10-28_17-25-42,,,2e:70:4e:d0:86:c3,-67,5765,154,Bermuda,pole 12 W
2025-10-28_17-25-42,,,28:70:4e:d0:86:c3,-67,5765,154,Bermuda Guest WIFI,pole 12 W
2025-10-28_17-25-42,,,2e:70:4e:d0:86:c3,-67,5765,154,Bermuda,pole 12 W
2025-10-28_17-25-42,,,28:70:4e:d0:86:c3,-67,5765,154,Bermuda Guest WIFI,pole 12 W
