timestamp,lat,long,bssid,signal_dbm,frequency,channel,ssid,devicename
2025-10-31_13-58-30,26.672865333333334,-81.80762533333333,2e:70:4e:d0:88:31,-62,5745,150,Bermuda,pole 08
2025-10-31_13-58-30,26.672865333333334,-81.80762533333333,28:70:4e:d0:88:30,-72,2427,4,Bermuda 2G,pole 08
2025-10-31_13-58-30,26.672865333333334,-81.80762533333333,2e:70:4e:d0:88:30,-73,2427,4,Bermuda Guest WIFI 2G,pole 08
2025-10-31_13-58-30,26.672865333333334,-81.80762533333333,28:70:4e:d0:87:dc,-77,2462,11,Bermuda 2G,pole 07
2025-10-31_13-58-30,26.672865333333334,-81.80762533333333,2e:70:4e:d0:87:dc,-81,2462,11,Bermuda Guest WIFI 2G,pole 07
2025-10-31_13-58-30,26.672865333333334,-81.80762533333333,62:22:32:16:00:d3,-83,5240,49,Bermuda,laundry2
2025-10-31_13-58-30,26.672865333333334,-81.80762533333333,60:22:32:16:00:d3,-84,5240,49,Bermuda Guest WIFI,laundry2
2025-10-31_13-58-30,26.672865333333334,-81.80762533333333,28:70:4e:d0:86:3e,-87,2462,11,Bermuda 2G,pole 09
2025-10-31_13-58-30,26.672859333333335,-81.8076375,2e:70:4e:d0:88:31,-58,5745,150,Bermuda,pole 08
2025-10-31_13-58-30,26.672859333333335,-81.8076375,28:70:4e:d0:88:31,-58,5745,150,Bermuda Guest WIFI,pole 08
2025-10-31_13-58-30,26.672859333333335,-81.8076375,2e:70:4e:d0:88:30,-66,2427,4,Bermuda Guest WIFI 2G,pole 08
2025-10-31_13-58-30,26.672859333333335,-81.8076375,28:70:4e:d0:88:30,-67,2427,4,Bermuda 2G,pole 08
2025-10-31_13-58-30,26.672859333333335,-81.8076375,28:70:4e:d0:87:dc,-81,2462,11,Bermuda 2G,pole 07
2025-10-31_13-58-30,26.672859333333335,-81.8076375,2e:70:4e:d0:87:dc,-81,2462,11,Bermuda Guest WIFI 2G,pole 07
2025-10-31_13-58-30,26.672859333333335,-81.8076375,60:22:32:16:00:d3,-86,5240,49,Bermuda Guest WIFI,laundry2
2025-10-31_13-58-30,26.672859333333335,-81.8076375,28:70:4e:d0:86:3e,-87,2462,11,Bermuda 2G,pole 09
2025-10-31_13-58-30,26.672859333333335,-81.8076375,62:22:32:16:00:d3,-87,5240,49,Bermuda,laundry2
2025-10-31_13-58-30,26.6728575,-81.807635,28:70:4e:d0:88:31,-58,5745,150,Bermuda Guest WIFI,pole 08
2025-10-31_13-58-30,26.6728575,-81.807635,2e:70:4e:d0:88:31,-66,5745,150,Bermuda,pole 08
