timestamp,lat,long,bssid,signal_dbm,frequency,channel,ssid,devicename
2025-10-24_19-57-37,,,9e:05:d6:96:11:ff,-43,5805,162,Bermuda,inside3
2025-10-24_19-57-37,,,9c:05:d6:d6:11:ff,-43,5805,162,Bermuda Guest WIFI,inside3
2025-10-24_19-57-37,,,9e:05:d6:96:20:6f,-50,5745,150,Bermuda Guest WIFI,inside1
2025-10-24_19-57-37,,,9e:05:d6:a6:20:6f,-51,5745,150,Bermuda,Unknown
2025-10-24_19-57-37,,,9c:05:d6:d6:20:6f,-51,5745,150,Private WIFI,inside1
2025-10-24_19-57-37,,,9e:05:d6:b6:20:6f,-51,5745,150,Private WIFI,Unknown
2025-10-24_19-57-37,,,9e:05:d6:96:25:73,-56,5220,45,Bermuda,inside4
2025-10-24_19-57-37,,,9c:05:d6:d6:25:73,-56,5220,45,Bermuda Guest WIFI,inside4
2025-10-24_19-57-37,,,9c:05:d6:d6:11:fe,-59,2462,11,Bermuda 2G,inside3
2025-10-24_19-57-37,,,9e:05:d6:96:11:fe,-60,2462,11,Bermuda Guest WIFI 2G,inside3
2025-10-24_19-57-37,,,9c:05:d6:d6:20:6e,-66,2437,6,Private WIFI,inside1
2025-10-24_19-57-37,,,9e:05:d6:a6:20:6e,-66,2437,6,Bermuda Guest WIFI 2G,Unknown
2025-10-24_19-57-37,,,9e:05:d6:96:2c:47,-67,5785,158,Bermuda,inside2
2025-10-24_19-57-37,,,9e:05:d6:96:22:af,-67,5805,162,Bermuda,inside5
2025-10-24_19-57-37,,,9e:05:d6:96:20:6e,-67,2437,6,Bermuda 2G,inside1
2025-10-24_19-57-37,,,9c:05:d6:d6:2c:47,-67,5785,158,Bermuda Guest WIFI,inside2
2025-10-24_19-57-37,,,9c:05:d6:d6:25:72,-68,2412,1,Bermuda 2G,inside4
2025-10-24_19-57-37,,,22:6a:1b:63:f6:f2,-69,5240,49,Bermuda,Outside SE
2025-10-24_19-57-37,,,1c:6a:1b:63:f6:f2,-70,5240,49,Bermuda Guest WIFI,Outside SE
2025-10-24_19-57-37,,,9e:05:d6:96:25:72,-71,2412,1,Bermuda Guest WIFI 2G,inside4
2025-10-24_19-57-37,,,9c:05:d6:d6:22:ae,-71,2462,11,Bermuda 2G,inside5
2025-10-24_19-57-37,,,9e:05:d6:96:2c:46,-74,2412,1,Bermuda Guest WIFI 2G,inside2
2025-10-24_19-57-37,,,2e:70:4e:d0:88:21,-75,2412,1,Bermuda Guest WIFI 2G,pole 14
2025-10-24_19-57-37,,,9c:05:d6:d6:2c:46,-77,2412,1,Bermuda 2G,inside2
2025-10-24_19-57-37,,,28:70:4e:d0:88:21,-78,2412,1,Bermuda 2G,pole 14
2025-10-24_19-57-37,,,28:70:4e:23:62:7b,-82,5765,154,Bermuda Guest WIFI,inside6
2025-10-24_19-57-37,,,2a:70:4e:13:62:7b,-83,5765,154,Bermuda,inside6
2025-10-24_19-57-37,,,9e:05:d6:96:11:ff,-43,5805,162,Bermuda,inside3
2025-10-24_19-57-37,,,9c:05:d6:d6:11:ff,-43,5805,162,Bermuda Guest WIFI,inside3
