timestamp,ssid,bssid,signal_dbm,channel,iperf3_server,iperf_direction,iperf_throughput_mbps,iperf_jitter_ms,iperf_loss_percent,lat,long,devicename
2025-10-17T00:26:42.609064+00:00,Bermuda,1c:6a:1b:63:f6:f2,-50,162,192.168.10.242,upload,264.85870369423037,,0,26.674276,-81.8045825,Unknown
2025-10-17T00:26:55.267025+00:00,Bermuda,1c:6a:1b:63:f6:f2,-50,162,192.168.10.242,download,321.2550624168201,,0,26.674276333333335,-81.80458016666667,Unknown
2025-10-17T00:27:49.790365+00:00,Bermuda,1c:6a:1b:63:f6:f2,-60,162,192.168.10.242,upload,80.88678374450873,,0,26.673870666666666,-81.80473166666667,Unknown
2025-10-17T00:28:02.207106+00:00,Bermuda,1c:6a:1b:63:f6:f2,-60,162,192.168.10.242,download,28.388163377439447,,0,26.67376416666667,-81.80433483333333,Unknown
2025-10-17T00:28:55.639183+00:00,Bermuda,28:70:4e:d0:87:5e,-73,11,192.168.10.242,upload,14.335247686887914,,0,26.672830833333332,-81.804338,pole 15 S
2025-10-17T00:29:57.051990+00:00,Bermuda,28:70:4e:d2:c9:b0,-61,6,192.168.10.242,upload,8.588096817889227,,0,26.6728315,-81.80431366666667,pole 15 NW
2025-10-17T00:30:09.900921+00:00,Bermuda,28:70:4e:d2:c9:b0,-61,6,192.168.10.242,download,22.52206688392472,,0,26.672832166666666,-81.80431033333333,pole 15 NW
2025-10-17T00:31:08.642365+00:00,Bermuda,28:70:4e:d2:c9:b0,-60,6,192.168.10.242,upload,12.5212004702273,,0,26.672834,-81.80431716666666,pole 15 NW
2025-10-17T00:31:21.590722+00:00,Bermuda,28:70:4e:d2:c9:b0,-60,6,192.168.10.242,download,26.50171313786639,,0,26.6728355,-81.80432183333333,pole 15 NW
2025-10-17T00:32:21.126368+00:00,Bermuda,28:70:4e:d2:c9:b0,-59,6,192.168.10.242,upload,13.417130640380485,,0,26.6728405,-81.80433016666667,pole 15 NW
2025-10-17T00:32:34.666799+00:00,Bermuda,28:70:4e:d2:c9:b0,-59,6,192.168.10.242,download,28.28113846369614,,0,26.6728325,-81.80433516666666,pole 15 NW
2025-10-17T00:33:34.571031+00:00,Bermuda,28:70:4e:d2:c9:b0,-60,6,192.168.10.242,upload,12.322817139830587,,0,26.672859666666668,-81.804444,pole 15 NW
2025-10-17T00:33:47.644322+00:00,Bermuda,28:70:4e:d2:c9:b0,-60,6,192.168.10.242,download,8.06597164814335,,0,26.673083333333334,-81.80465083333333,pole 15 NW
