timestamp,lat,long,ssid,bssid,signal_dbm,channel,channel_overlap,connected_ssid,connected_bssid,connected_rssi,site_number,pole_number,iperf_throughput_mbps,iperf_jitter_ms,iperf_loss_percent
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Pvt.WFR_Spruce.1381,02:2c:6e:67:83:96,-92,8,2,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Pvt.WFR_Denali.1313,02:fe:5d:b4:a7:19,-89,1,12,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Zoomy,ba:4e:97:25:78:7f,-94,11,16,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda Guest WIFI,7a:83:c2:9b:33:47,-38,44,9,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda Guest WIFI,2e:70:4e:d0:88:f9,-80,1,12,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda Guest WIFI,2e:70:4e:d2:92:ab,-80,157,12,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Private WIFI,a6:05:d6:e9:8e:8d,-81,6,16,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda Guest WIFI,2e:70:4e:d2:92:aa,-78,6,16,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Private WIFI,a6:05:d6:e9:8e:8e,-87,40,7,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Newmar4482,06:5e:3c:63:a7:86,-93,5,2,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Private WIFI,32:70:4e:d0:88:f9,-80,1,12,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda,28:70:4e:d0:89:20,-95,11,16,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda,28:70:4e:d0:88:f9,-80,1,12,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda Guest WIFI,2e:70:4e:d0:88:22,-87,40,7,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda Guest WIFI,2e:70:4e:d0:88:21,-71,6,16,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Pvt.WFR_Denali.5GHz.5384,02:17:1a:c5:d6:04,-90,165,2,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Pvt.WFR_Denali.5384,02:17:1a:c5:d6:05,-83,8,2,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda,2e:70:4e:d0:87:50,-89,157,12,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda Guest WIFI,2e:70:4e:d0:88:fa,-90,149,3,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda Guest WIFI,a2:05:d6:e9:77:a5,-85,11,16,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Private WIFI,7e:83:c2:9a:33:47,-42,11,16,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Bermuda Guest WIFI,a2:05:d6:e9:77:a6,-84,157,12,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Winegard2ghzC3E8F2,02:17:1a:c3:e8:f4,-92,6,16,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
2025-05-30T15:21:20.912117,26.673443566401428,-81.80382637087378,Private WIFI,a6:05:d6:e9:8e:7e,-82,44,9,Bermuda,74:83:c2:9b:33:47,-25,unknown,unknown,355.3220418160497,0,0
