timestamp,lat,long,ssid,bssid,signal_dbm,channel,channel_overlap,connected_ssid,connected_bssid,connected_rssi,iperf_throughput_mbps,iperf_jitter_ms,iperf_loss_percent
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,7a:83:c2:9b:33:47,-37,44,7,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,2e:70:4e:d0:88:f9,-78,1,4,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,2e:70:4e:d2:92:ab,-81,157,9,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,2e:70:4e:d2:92:aa,-82,6,10,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Private WIFI,a6:05:d6:e9:8e:8e,-88,40,6,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Private WIFI,32:70:4e:d0:88:f9,-78,1,4,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda,28:70:4e:d0:88:f9,-86,1,4,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,2e:70:4e:d0:88:22,-76,40,6,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,2e:70:4e:d0:88:21,-73,6,10,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Pvt.WFR_Denali.5GHz.5384,02:17:1a:c5:d6:04,-91,165,2,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Private WIFI,7e:83:c2:9a:33:47,-30,11,9,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,a2:05:d6:e9:77:a6,-88,157,9,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Private WIFI,a6:05:d6:e9:8e:7e,-85,44,7,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Private WIFI,a6:05:d6:e9:8e:7d,-88,11,9,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda,74:83:c2:9b:33:47,-38,44,7,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,28:70:4e:d0:86:c3,-86,44,7,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Newmar9447,06:c8:1b:b3:68:41,-90,6,10,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,a2:05:d6:e9:8e:8e,-87,40,6,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Private WIFI,32:70:4e:dd:d0:4a,-77,157,9,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda,9c:05:d6:e9:77:a6,-89,157,9,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda,9c:05:d6:e9:8e:7d,-89,11,9,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda,9c:05:d6:e9:8e:7e,-85,44,7,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Private WIFI,7e:83:c2:9b:33:47,-37,44,7,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Bermuda Guest WIFI,2e:70:4e:d0:86:3e,-87,1,4,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Pvt.WFR_Denali.5GHz.6222,02:17:1a:c5:bd:b8,-87,165,2,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
2025-05-30T14:47:37.415124,26.673528399975957,-81.80382381191886,Pvt.WFR_Everest.5GHz.4471,02:17:1a:c5:c6:4c,-85,36,1,Bermuda,74:83:c2:9b:33:47,-41,324.4214011913906,0,0
