timestamp,pole_id,lat,long
2025-05-30T17:36:35.896108,18,26.671259782200575,-81.80378748615978
2025-05-30T17:47:14.973826,19,26.671890496675193,-81.8038568102348
2025-05-30T17:55:30.033303,20,26.67255733717883,-81.80393729123507
2025-05-30T17:56:19.063650,15,26.672500945059735,-81.8044055348682
2025-05-30T17:57:36.063620,16,26.671794960746197,-81.8045707674528
2025-05-30T17:58:45.719826,17,26.67111929428939,-81.80449316016328
2025-05-30T21:54:36,13,26.67341416994416,-81.80518841937824
2025-05-30T21:57:07,11,26.673414098104335,-81.80572890227901
2025-05-30T22:02:57,12,26.672978731548316,-81.8050591037837
2025-05-30T22:14:32,10,26.67339417306219,-81.80665911044474
2025-05-30T22:20:36,9,26.673409297406288,-81.80756266536052
2025-05-30T22:29:25,8,26.672974987351488,-81.80765114973083
2025-05-30T22:35:42,7,26.673575495189514,-81.80791368794907
2025-05-30T22:42:37,2,26.6747324959722,-81.80788276745876
2025-05-30T22:45:11,1,26.67520164086699,-81.80819945025551
2025-05-30T22:47:14,3,26.674096763721167,-81.80803996836934
2025-05-30T22:48:31,6,26.673908555364022,-81.80848799461133
2025-05-30T22:49:31,4,26.67406295247387,-81.80879693263292
2025-05-30T22:50:09,5,26.673761902815613,-81.80902104327846
2025-05-30T22:56:07,12,26.67301751303483,-81.80512367027787
2025-05-30T23:06:44,14,26.67345154279813,-81.80486929736708
2025-05-30T23:13:38,ap5,26.67432844043043,-81.80474655580815
2025-05-30T23:14:10,ap5,26.674296295248325,-81.80485187218636
2025-05-30T23:15:09,ap2,26.67426062799037,-81.80389690022116
2025-05-30T23:16:54,21,26.67494509079247,-81.80409423601982
2025-05-30T23:17:40,22,26.675426743084486,-81.8040859835745
