timestamp,lat,long,ssid,bssid,signal_dbm,channel,channel_overlap,connected_ssid,connected_bssid,connected_rssi,site_number,iperf_direction,iperf_throughput_mbps,iperf_jitter_ms,iperf_loss_percent
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Freedom2190,2a:04:db:2d:1e:02,-90,1,16,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Pvt.WFR_Spruce.1381,02:2c:6e:67:83:96,-82,11,12,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda Guest WIFI,9e:05:d6:96:11:ff,-89,153,9,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Pvt.WFR_Denali.1313,02:fe:5d:b4:a7:19,-84,1,16,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda Guest WIFI,2e:70:4e:d0:88:f9,-68,1,16,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda,9c:05:d6:d6:11:ff,-90,153,9,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Private WIFI,a6:05:d6:e9:8e:8d,-83,6,10,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Private WIFI,a6:05:d6:e9:8e:8e,-76,40,7,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda Guest WIFI,28:70:4e:d0:88:af,-86,149,10,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Private WIFI,32:70:4e:d0:88:f9,-68,1,16,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda Guest WIFI,2e:70:4e:d0:88:fa,-84,149,10,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda Guest WIFI,a2:05:d6:e9:77:a5,-78,11,12,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda Guest WIFI,a2:05:d6:e9:77:a6,-81,157,12,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Tommy Bahama,8e:6d:e4:4f:fa:1d,-84,149,10,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda,2e:70:4e:dd:d0:50,-87,153,9,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Private WIFI,32:70:4e:d0:87:5f,-83,161,7,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Private WIFI,32:70:4e:d0:86:c3,-78,44,7,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,venus-HQ2426ZFDFP-8e5,5e:c5:63:ee:27:f7,-94,1,16,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda,9c:05:d6:d6:25:73,-89,149,10,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Newmar9447,06:c8:1b:b3:68:41,-67,6,10,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
2025-05-30T16:42:43.214487,26.673649982602427,-81.80437565866279,Bermuda Guest WIFI,28:70:4e:d2:c9:b1,-83,153,9,Bermuda,2e:70:4e:dd:d0:4a,-59,70,download,6.918779885256212,0,0
